id,mass,x,y,z,vx,vy,vz
74,57.4092,-1.22438,4.73078,3.94749,0.0769309,0.0712603,-0.00940425
75,52.0179,5.20711,4.46666,-1.56798,0.094748,0.0365022,0.0295512
76,22.7789,7.09754,1.04063,-5.25119,0.0928883,-0.0479645,0.0229957
77,36.1523,6.43092,2.91083,7.55435,-0.0480984,-0.0729108,-0.046884
78,56.1232,2.13398,0.749812,-1.13014,-0.0885512,0.06102,0.0703141
79,18.131,-5.13379,-8.75728,8.86652,0.0579688,0.0500319,-0.0513636
80,72.619,-2.84215,-5.96243,-1.83588,0.045159,0.0648467,-0.0447603
81,28.8239,9.75715,-1.78532,-1.40759,0.0433455,0.0106929,0.0181178
82,95.388,3.12224,-6.5417,-4.39109,0.022606,-0.0879301,-0.0590364
83,61.3076,7.02453,-0.510586,-4.2073,0.0898669,-0.0190683,0.00613244
84,84.651,-2.5418,3.55951,-8.98272,0.0178249,-0.0223618,0.0772563
85,9.37777,5.27907,7.04355,3.12632,-0.0962909,-0.0497753,0.0797794
86,22.2073,-4.7475,-4.78018,5.4263,0.0720424,0.0838662,-0.0546639
87,8.16974,-6.45256,9.84497,-3.5838,0.0984374,0.0476899,0.0519234
88,66.9168,6.3232,3.37592,-4.94146,0.0359747,-0.0650741,-0.0261261
89,50.3626,-7.94221,5.69508,-3.5403,-0.0593901,-0.0427374,-0.0718708
90,74.572,-5.91205,-0.00173351,-3.7426,-0.00833328,-0.0699272,-0.0493641
91,59.8621,-1.73888,-5.76565,7.03753,-0.0715323,-0.0450532,0.00106592
92,45.022,8.59235,-8.9606,-0.253045,0.080325,-0.0612195,0.0994214
93,77.1883,2.09739,7.11576,-9.27708,-0.0758221,0.0503488,-0.0846575
94,84.8355,-4.31537,2.27078,-7.8487,-0.00933852,-0.0763452,-0.0562337
95,60.044,-6.56415,-9.82103,3.10595,0.0226847,-0.0702045,-0.0177254
96,78.8311,9.43807,-5.34121,-0.664588,0.00053312,-0.041548,0.0782715
97,94.0258,-6.81066,-4.99499,-9.56189,-0.07396,-0.0579223,-0.0415038
98,59.6745,5.39174,-1.2104,-8.25686,-0.0719419,-0.0182312,-0.0580058
99,31.0269,-7.08083,-9.63706,-1.67889,0.0114777,0.00832418,-0.0475872
100,38.7124,-4.04968,7.54567,2.85186,0.0791001,0.0269095,0.0760333
101,65.5471,2.52812,-8.24675,4.51379,-0.0186152,0.0678534,-0.00797744
102,66.6841,7.53975,4.83986,5.17087,-0.0984173,0.0174937,-0.0730304
103,25.1528,-9.64682,-9.88859,-2.40952,-0.0934758,0.0274957,0.0354566
104,28.2602,6.07051,3.06567,4.70259,8.77078e-05,0.00330236,-0.0689877
105,92.6292,7.8517,7.79099,4.54825,-0.0638976,0.0128024,-0.0794749
106,6.48984,-5.30523,7.76589,8.2414,0.0976521,0.0289151,-0.0178206
107,56.4847,0.132604,-2.22899,4.31785,0.0761542,-0.049031,-0.0778058
108,69.4624,-6.51438,7.80136,9.68168,0.0702844,-0.00288301,0.00316543
109,29.8336,7.84426,2.26171,1.99223,0.0961242,-0.0412191,-0.0630755
110,6.38667,9.95927,-6.45105,0.316428,0.0670566,0.0267877,-0.00057327
111,59.4336,5.84481,6.81283,-1.73014,-0.0851049,-0.0274157,0.0730578
112,62.563,-2.93351,5.86414,7.4781,-0.042569,-0.03055,0.0527658
113,4.90023,-9.55784,-1.66549,2.88806,-0.011856,0.0402941,0.0694049
114,56.9086,-3.87313,1.73341,2.40276,0.0289133,0.0414468,-0.0230159
115,52.2564,-7.01519,-0.412395,6.93077,0.0103498,0.0823502,0.098862
116,60.278,6.95673,4.71443,7.13597,-0.0412686,-0.0797805,0.0436584
117,59.6325,-7.10996,-1.70061,2.79796,-0.0100845,0.0210842,-0.0255745
118,17.164,8.2752,9.35049,-8.83319,-0.0315323,-0.0800825,0.0464704
119,4.38954,-8.62208,8.17756,7.50171,0.0664889,0.00426419,0.0140494
120,18.3878,0.123975,-3.45803,-8.50139,0.0686063,0.0957726,-0.03902
121,94.0037,-7.07444,-6.8083,7.68924,0.00834736,0.0706533,0.00432681
122,10.7933,-8.43185,-1.10876,2.83211,-0.0305531,0.0318352,-0.0558326
123,43.1962,-0.67336,-6.62456,4.60972,0.0525741,-0.0797253,-0.0439151
124,74.2903,4.49699,9.05911,2.14445,0.0871256,-0.00604642,0.0447145
125,28.0575,3.72734,7.46081,-3.20798,0.0806862,-0.0218214,-0.039984
126,91.6185,9.24819,1.73108,-2.55412,-0.010774,0.0329548,-0.0364517
127,91.2714,7.95933,-4.10117,4.22559,-0.0427257,-0.0520148,-0.0492161
128,60.2024,3.3281,-0.456349,3.19445,-0.0391178,0.0951695,-0.0251183
129,92.0677,-1.26533,-9.77904,-6.60742,-0.0366626,-0.0514793,-0.0546047
130,34.9502,4.3076,6.03257,-9.2376,-0.0576447,-0.0270533,-0.0360309
131,20.3584,-8.20304,9.0428,8.11635,-0.0479218,0.042811,-0.00260414
132,97.5444,-3.80238,0.0852231,9.85399,-0.0177534,0.0187519,-0.089355
133,83.2935,9.84223,2.63509,1.45223,0.067977,0.0300534,-0.0874036
134,8.79846,-5.66192,1.6416,-4.86448,0.0136498,0.016955,-0.0862427
135,45.8781,8.69847,-6.76547,-5.96537,-0.0986931,0.0995065,0.0469597
136,44.4681,-4.47365,2.3321,1.04842,0.0073726,-0.0951236,-0.0103489
137,10.084,8.27752,-2.5017,-0.586054,-0.0248776,-0.0266423,-0.0967931
138,88.5353,-0.906807,3.30707,8.80837,0.0965594,0.0645133,-0.0677844
139,44.6887,-4.22685,-1.2326,5.04807,0.00889093,-0.0900055,-0.0237312
140,97.0206,-4.3296,2.5851,3.97809,0.00503164,0.0560127,-0.0690912
141,98.3216,-2.88658,1.09606,-9.48858,0.0696083,-0.0557405,-0.0062474
142,62.9079,-6.43795,3.77612,-4.54205,-0.0212319,0.0997745,0.0765311
143,74.6066,-5.81513,3.41487,-4.07108,-0.00529758,0.0685328,0.00939492
144,64.2999,7.46842,-5.967,-6.30176,-0.0212747,0.0802773,-0.0907236
145,63.2394,2.01982,8.54912,-8.96897,-0.0110309,-0.0417891,0.0922079
146,97.6961,-8.62073,-4.65287,8.57585,-0.00706026,0.0630189,0.0118277
147,66.1752,-1.08405,9.93407,-2.01373,-0.0713885,0.0179779,-0.0074205
148,26.8833,7.46314,6.4855,9.59718,0.0198333,0.0595201,0.0556949
149,45.1507,-2.21981,-3.22191,0.985693,0.0241462,-0.00452487,0.0815975
150,34.3077,2.89972,-1.60328,-7.77907,-0.0106266,-0.0987076,0.055841
151,31.2889,3.0986,3.6284,2.67009,0.0658056,-0.0274878,0.00337047
152,7.21667,-1.25431,-6.66259,2.59646,0.0758258,-0.0511334,0.0363667
153,73.7101,-9.13013,2.34408,3.16694,-0.0926564,-0.0262924,0.00161402
154,13.2104,1.43888,2.55159,-0.116952,-0.0176451,-0.0114446,-0.0388708
155,43.2508,-2.58662,-8.85547,-5.80351,0.0156053,-0.0313002,0.00784144
156,4.79693,-4.36688,6.24128,-3.12841,-0.0807956,0.0546159,0.0288251
157,55.2613,-8.18153,-2.7128,1.80122,-0.0142955,0.0844382,0.0495974
158,87.1289,-3.25576,9.46078,4.79176,-0.043057,-0.0879078,0.00242235
159,61.8942,9.06183,-8.78828,-4.4783,0.0702445,0.0570494,0.0571435
160,3.30152,-9.53136,7.04301,-6.5457,0.0585098,0.00508415,-0.0842597
161,15.9686,-6.72029,-7.90091,6.54908,0.0843705,-0.0259907,-0.042213
162,40.9015,-9.0237,6.23336,-0.786516,-0.0228864,-0.0424098,-0.000711737
163,97.1308,7.74621,-2.51138,-8.64798,0.0285672,0.0380781,-0.0943029
164,98.6826,3.3974,-9.36261,2.39993,0.0649135,-0.0650155,-0.0982365
165,63.4711,3.70218,-5.94958,7.37085,-0.0671977,-0.00690221,-0.00185409
166,38.99,-7.35545,4.12258,9.86983,-0.076901,0.0887825,0.0807338
167,91.4041,-3.30523,-3.93613,3.55708,0.0223419,0.0152463,0.0781948
168,17.1378,-6.37404,4.58865,1.28472,-0.0570981,0.0851463,-0.0989758
169,98.859,-5.95336,-8.65563,-1.00597,-0.00554857,-0.0779,-0.0132915
170,63.6293,-8.44107,7.20837,5.48513,0.0727327,0.0487919,-0.0228171
171,97.5834,-9.26177,-3.84228,-6.20761,-0.0155782,-0.0422173,-0.0235459
