Body 50: m=1.440000e+09  x=-0.440824 y=5.446571 z=-11.509902  vx=0.390454 vy=-1.229731 vz=2.064181
Body 51: m=1.627000e+09  x=-129.557137 y=-542.136972 z=-176.658632  vx=-2.587693 vy=-10.823345 vz=-3.530102
Body 52: m=1.201000e+09  x=-56.177240 y=-19.547244 z=-17.285018  vx=-1.672685 vy=-0.644114 vz=-0.523860
Body 53: m=1.566000e+09  x=224.433359 y=-154.133294 z=-53.501316  vx=4.362296 vy=-3.047698 vz=-1.097905
Body 54: m=1.852000e+09  x=7.834444 y=-7.317338 z=-10.987883  vx=2.052382 vy=-3.915508 vz=-0.267575
Body 55: m=1.364000e+09  x=42.434125 y=-56.636207 z=-47.808401  vx=0.569421 vy=-0.745321 vz=-0.761135
Body 56: m=1.525000e+09  x=-2.647351 y=5.208483 z=-1.751053  vx=0.497844 vy=-0.160775 vz=-0.891720
Body 57: m=1.113000e+09  x=1791.899585 y=1174.438441 z=-1033.156793  vx=50.649773 vy=33.037279 vz=-29.114663
Body 58: m=1.111000e+09  x=3.157104 y=-2.916441 z=-0.027148  vx=0.176486 vy=-0.031136 vz=-0.066886
Body 59: m=1.470000e+09  x=-3.201567 y=6.135501 z=-8.070437  vx=1.171581 vy=-1.564960 vz=-1.204273
Body 60: m=1.531000e+09  x=0.557696 y=6.409409 z=-8.191939  vx=0.333353 vy=-1.205297 vz=1.848603
Body 61: m=1.031000e+09  x=-3.601016 y=10.542320 z=-6.449409  vx=0.999282 vy=-0.615831 vz=-0.276961
Body 62: m=1.372000e+09  x=-61.581677 y=-453.201604 z=-70.959385  vx=-1.218857 vy=-9.013322 vz=-1.411064
Body 63: m=1.600000e+09  x=-9.255760 y=712.124690 z=-341.636545  vx=-0.188417 vy=14.253340 vz=-6.835406
Body 64: m=1.025000e+09  x=-2.595297 y=-1.294358 z=-7.001889  vx=-1.307308 vy=-5.820565 vz=0.328058
Body 65: m=1.033000e+09  x=169.208768 y=379.965853 z=-153.714571  vx=3.495099 vy=7.781302 vz=-3.122687
Body 66: m=1.015000e+09  x=-1327.843882 y=454.588456 z=-620.533077  vx=-26.570440 vy=9.081473 vz=-12.426153
Body 67: m=1.209000e+09  x=-4311.752079 y=-2015.327313 z=1821.827637  vx=-87.108721 vy=-40.718768 vz=36.802756
Body 68: m=1.899000e+09  x=688.085730 y=-778.243654 z=-800.057367  vx=14.666511 vy=-16.611005 vz=-17.059432
Body 69: m=1.621000e+09  x=26.185267 y=12.626252 z=2.558317  vx=-0.007646 vy=0.297505 vz=-0.159898
Body 70: m=1.651000e+09  x=11.074258 y=-6.400456 z=-1.476441  vx=0.277840 vy=0.719393 vz=0.171924
Body 71: m=1.736000e+09  x=243.571596 y=-422.720791 z=-274.902149  vx=5.471472 vy=-8.646485 vz=-5.539298
Body 72: m=1.861000e+09  x=-76.378864 y=109.741128 z=41.748683  vx=-1.372406 vy=1.939139 vz=0.693297
Body 73: m=1.353000e+09  x=9.143670 y=7.771144 z=-14.284447  vx=-0.601848 vy=0.658588 vz=0.926893
Body 74: m=1.873000e+09  x=-13.972731 y=-215.084525 z=125.764892  vx=-0.243372 vy=-4.324823 vz=2.511666
Body 75: m=1.769000e+09  x=10.088725 y=10.573224 z=-6.877559  vx=1.093673 vy=1.294923 vz=0.034687
Body 76: m=1.011000e+09  x=-0.531928 y=-4.650899 z=-4.366255  vx=-0.184003 vy=-0.818357 vz=0.527239
Body 77: m=1.315000e+09  x=2.215600 y=11.480864 z=-12.183506  vx=1.038701 vy=-0.423909 vz=-0.315206
Body 78: m=1.919000e+09  x=-576.377888 y=430.786761 z=-419.085530  vx=-11.597916 vy=8.551124 vz=-8.376300
Body 79: m=1.874000e+09  x=-1.910942 y=6.466634 z=-8.404495  vx=-0.334528 vy=1.327071 vz=-2.698216
Body 80: m=1.047000e+09  x=0.693719 y=5.987766 z=-8.671020  vx=-0.011166 vy=2.056894 vz=0.897026
Body 81: m=1.317000e+09  x=-269.707361 y=256.462815 z=-448.745115  vx=-5.960486 vy=5.608659 vz=-9.841447
Body 82: m=1.405000e+09  x=1087.832956 y=104.334695 z=523.375998  vx=21.758032 vy=2.093485 vz=10.491624
Body 83: m=1.393000e+09  x=-73.348254 y=-431.362431 z=110.927610  vx=-1.485758 vy=-8.554602 vz=2.198872
Body 84: m=1.869000e+09  x=96.294113 y=-169.197241 z=-1.490769  vx=1.923984 vy=-3.419237 vz=-0.031742
Body 85: m=1.615000e+09  x=-0.514274 y=7.370868 z=-5.126219  vx=-0.098085 vy=-0.431271 vz=2.214663
Body 86: m=1.185000e+09  x=2.079908 y=8.212777 z=-13.175623  vx=1.715226 vy=0.766237 vz=-0.403679
Body 87: m=1.723000e+09  x=-133.231192 y=-240.874666 z=-71.305266  vx=-2.583729 vy=-4.708372 vz=-1.395666
Body 88: m=1.684000e+09  x=-2.503726 y=1.022103 z=-11.894261  vx=-1.437324 vy=0.347799 vz=-0.114494
Body 89: m=1.559000e+09  x=-0.476861 y=6.349938 z=-4.438184  vx=0.719365 vy=2.049129 vz=-1.031586
Body 90: m=1.321000e+09  x=-1279.075500 y=1264.346537 z=944.456872  vx=-27.292846 vy=26.957882 vz=20.150131
Body 91: m=1.672000e+09  x=5.026449 y=156.744096 z=797.695689  vx=0.079031 vy=3.382923 vz=17.296388
Body 92: m=1.888000e+09  x=0.937990 y=12.316093 z=-6.445140  vx=0.895454 vy=-0.387374 vz=-0.385528
Body 93: m=1.338000e+09  x=-196.785219 y=324.148696 z=-200.927409  vx=-3.919177 vy=6.423360 vz=-3.977354
Body 94: m=1.006000e+09  x=-3.980276 y=7.885584 z=-6.578691  vx=-0.223558 vy=-0.182616 vz=0.433091
Body 95: m=1.002000e+09  x=-118.718650 y=-132.293479 z=-111.257572  vx=-3.020770 vy=-3.348979 vz=-2.735200
Body 96: m=1.268000e+09  x=-215.446938 y=92.027642 z=-85.582227  vx=-4.180191 vy=1.781578 vz=-1.643373
Body 97: m=1.370000e+09  x=-72.183862 y=133.635538 z=-55.658579  vx=-1.335210 vy=2.423485 vz=-1.017229
Body 98: m=1.511000e+09  x=-170.984151 y=-99.501982 z=83.841538  vx=-5.648666 vy=-3.407705 vz=2.914688
Body 99: m=1.433000e+09  x=-14.638116 y=139.979524 z=-75.276276  vx=-0.286600 vy=2.581828 vz=-1.397339
Body 100: m=1.849000e+09  x=150.408262 y=-476.787908 z=-493.290512  vx=3.008482 vy=-9.537119 vz=-9.864152
Body 101: m=1.794000e+09  x=0.296468 y=17.138049 z=-13.422835  vx=-0.425673 vy=-0.271631 vz=0.107305
Body 102: m=1.961000e+09  x=-1.653694 y=3.455955 z=-11.159497  vx=0.397894 vy=-0.059777 vz=-1.556237
Body 103: m=1.840000e+09  x=-3.125686 y=6.448604 z=-16.235289  vx=-0.490133 vy=-0.309404 vz=-1.998358
Body 104: m=1.462000e+09  x=144.276904 y=130.814423 z=378.960234  vx=2.869606 vy=2.597381 vz=7.525563
Body 105: m=1.736000e+09  x=-45.356951 y=5.507470 z=-63.730082  vx=-1.044686 vy=0.123021 vz=-1.341955
Body 106: m=1.883000e+09  x=2.412355 y=7.979430 z=-3.476808  vx=0.467618 vy=0.876749 vz=0.287566
Body 107: m=1.566000e+09  x=417.707779 y=-110.545237 z=192.411924  vx=8.329157 vy=-2.193010 vz=3.823235
Body 108: m=1.130000e+09  x=-306.851089 y=268.396136 z=229.337548  vx=-6.055413 vy=5.375723 vz=4.518799
Body 109: m=1.195000e+09  x=-4.127294 y=7.093657 z=-4.714272  vx=-0.768860 vy=0.836956 vz=1.226764
Body 110: m=1.776000e+09  x=606.814515 y=-147.098017 z=-294.730036  vx=12.586530 vy=-2.552753 vz=-6.225503
Body 111: m=1.046000e+09  x=33.165399 y=9.431414 z=47.339419  vx=6.645686 vy=0.695969 vz=10.339959
